year,proposal_id,proposal_title,comparison_type,criterion,tfidf_similarity,embedding_similarity,keyword_overlap_count,keyword_jaccard,topic_similarity,sentiment_alignment,sentiment_agreement,polarity_1,polarity_2,sentiment_label_1,sentiment_label_2,polarity_correlation,human_reviewer_id,ai_source
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Data Sources & Limitations,0.0744497812340975,0.6962222782619298,1,0.02564102564102564,0.041577656621110584,0.8606168831168831,partial,-0.0021428571428571395,0.27662337662337666,neutral,positive,opposite_direction,1.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Data Sources & Limitations,0.28490294101887803,0.8624657068125554,2,0.05263157894736842,0.04136665094756847,0.9408549783549783,agree,0.15833333333333333,0.27662337662337666,positive,positive,same_direction,2.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Data Sources & Limitations,0.08148543902694351,0.6940176653806218,1,0.02564102564102564,0.04943633735032155,0.9416883116883117,agree,0.16,0.27662337662337666,positive,positive,same_direction,3.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Data Sources & Limitations,0.14011599092145122,0.7441314385148996,1,0.02564102564102564,0.06326728274721216,0.8616883116883116,partial,0.0,0.27662337662337666,neutral,positive,neutral,4.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Data Sources & Limitations,0.08623497745570599,0.7585423774600569,2,0.058823529411764705,0.07811160976665735,0.9725852272727272,agree,0.06875,0.013920454545454541,neutral,neutral,same_direction,1.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Data Sources & Limitations,0.09173231716406023,0.8052800714913796,1,0.02564102564102564,0.9999509268607217,0.9778612012987014,agree,-0.030357142857142853,0.013920454545454541,neutral,neutral,opposite_direction,2.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Data Sources & Limitations,0.07466946261556949,0.8144972755013073,2,0.05263157894736842,0.05936746940591746,0.9402935606060606,partial,0.13333333333333333,0.013920454545454541,positive,neutral,same_direction,3.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Data Sources & Limitations,0.23806703547961294,0.7941738771558395,4,0.1111111111111111,0.048263053344767035,0.9030303030303031,partial,0.29393939393939394,0.1,positive,neutral,same_direction,1.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Data Sources & Limitations,0.09547932275688113,0.8472147647387633,2,0.05405405405405406,0.9991794958139254,0.8857142857142857,partial,0.32857142857142857,0.1,positive,neutral,same_direction,2.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Data Sources & Limitations,0.09320702554448815,0.6948162530347554,1,0.02564102564102564,0.055869458908052165,0.95,agree,0.0,0.1,neutral,neutral,neutral,3.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Data Sources & Limitations,0.1685812941641485,0.8702268088683824,2,0.05263157894736842,0.06939259883044427,1.0,agree,0.09999999999999999,0.1,neutral,neutral,same_direction,4.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,Data Sources & Limitations,0.05002312823331449,0.7180704719604972,2,0.05263157894736842,0.05224268023025165,0.8691603535353536,partial,-0.07986111111111112,0.18181818181818182,neutral,positive,opposite_direction,1.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,Data Sources & Limitations,0.09481745776453832,0.7801969097770167,1,0.02564102564102564,0.05161551891104693,0.9791589363017934,agree,0.1401360544217687,0.18181818181818182,positive,positive,same_direction,2.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,Data Sources & Limitations,0.09666208136636235,0.7516903820195421,2,0.05263157894736842,0.05283956457483946,0.8924242424242425,partial,-0.03333333333333335,0.18181818181818182,neutral,positive,opposite_direction,3.0,human_y1
y1,4,Synthesizing gene expression data to create an atlas of bacterial cell states,human-ai,Data Sources & Limitations,0.1436870087433007,0.8172131468866335,4,0.1111111111111111,0.04642846724449848,0.9860606060606061,agree,0.15393939393939393,0.18181818181818182,positive,positive,same_direction,4.0,human_y1
y1,5,Energetic Origins of Connectivity within Protein Interaction Networks,human-ai,Data Sources & Limitations,0.008085434787969102,0.7311686320117616,0,0.0,0.06057645822306553,0.984983164983165,agree,0.19999999999999998,0.16996632996632993,positive,positive,same_direction,1.0,human_y1
