year,proposal_id,proposal_title,comparison_type,criterion,tfidf_similarity,embedding_similarity,keyword_overlap_count,keyword_jaccard,topic_similarity,sentiment_alignment,sentiment_agreement,polarity_1,polarity_2,sentiment_label_1,sentiment_label_2,polarity_correlation,human_reviewer_id,ai_source
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Scientific Merit & Innovation,0.10077865496091885,0.8679477988505861,3,0.08108108108108109,0.03786091004136507,0.9216586984444127,agree,0.1201530612244898,0.2768356643356643,positive,positive,same_direction,1.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Scientific Merit & Innovation,0.16211041819976957,0.9029471407652341,5,0.14285714285714285,0.03308157307463629,0.948257992007992,agree,0.17335164835164835,0.2768356643356643,positive,positive,same_direction,2.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Scientific Merit & Innovation,0.057670148987534746,0.8120620668280953,2,0.05263157894736842,0.9999980904211451,0.8954086984444127,partial,0.0676530612244898,0.2768356643356643,neutral,positive,same_direction,3.0,human_y1
y1,1,CYTOKINETIC BOTTLENECKS OF HEAT WAVES,human-ai,Scientific Merit & Innovation,0.016156331557841196,0.6988343942606866,0,0.0,0.05089435980570241,0.929763986013986,agree,0.13636363636363635,0.2768356643356643,positive,positive,same_direction,4.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Scientific Merit & Innovation,0.10837679945756169,0.7807404952479072,4,0.1111111111111111,0.04056402822038059,0.9810090702947846,agree,0.16122448979591836,0.1992063492063492,positive,positive,same_direction,1.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Scientific Merit & Innovation,0.06926150906420736,0.7695461076689084,3,0.08108108108108109,0.04298643545707635,0.9583838383838383,agree,0.11597402597402598,0.1992063492063492,positive,positive,same_direction,2.0,human_y1
y1,2,Elucidating genome structure-function relationships in human brain cells,human-ai,Scientific Merit & Innovation,0.09521745955956695,0.8552803427703988,4,0.1111111111111111,0.04095496978759511,0.9933531746031746,agree,0.2125,0.1992063492063492,positive,positive,same_direction,3.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Scientific Merit & Innovation,0.18276824388802307,0.910840632127222,3,0.08108108108108109,0.036223337014929205,0.9550477736549166,partial,0.1320408163265306,0.04213636363636364,positive,neutral,same_direction,1.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Scientific Merit & Innovation,0.049264162122477376,0.8052864124843324,2,0.05263157894736842,0.04403960075314923,0.9765681818181818,agree,0.08900000000000001,0.04213636363636364,neutral,neutral,same_direction,2.0,human_y1
y1,3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human-ai,Scientific Merit & Innovation,0.05520532612571,0.7508442883139415,0,0.0,0.043397228506889235,0.9389253246753246,partial,0.16428571428571428,0.04213636363636364,positive,neutral,same_direction,3.0,human_y1
